Map Name,Team 1 Name,Team 2 Name,Team 1 Score,Team 2 Score,Team 1 Attacking Wins,Team 2 Attacking Wins,Team 1 Agents,Team 2 Agents
Lotus,Lunar GC,G2 Gozen,10,13,4,6,"Breach,Sova,Omen,Neon,Vyse","Breach,Viper,Omen,Yoru,Tejo"
Split,Wygers,Melilla Titans,6,13,4,10,"Breach,Raze,Cypher,Astra,Tejo","Raze,Killjoy,Viper,Skye,Astra"
Haven,SK Nebula,Karmine Corp GC,7,13,6,7,"Breach,Cypher,Sova,Omen,Jett","Breach,Cypher,Sova,Omen,Jett"
Haven,NASR Ignite,HEROIC Valkyries,8,13,5,9,"Breach,Sova,Killjoy,Omen,Jett","Cypher,Sova,Omen,Yoru,Iso"
Pearl,SK Nebula,Karmine Corp GC,13,9,6,3,"Yoru,Astra,Fade,Vyse,Tejo","Breach,Killjoy,Jett,Astra,Tejo"
Fracture,NASR Ignite,HEROIC Valkyries,5,13,3,10,"Breach,Killjoy,Brimstone,KAY/O,Neon","Breach,Raze,Brimstone,Vyse,Tejo"
Bind,DRX Prospect,T1 Academy,17,15,7,6,"Raze,Brimstone,Skye,Vyse,Tejo","Raze,Brimstone,KAY/O,Gekko,Vyse"
Pearl,DRX Prospect,T1 Academy,13,7,9,4,"Cypher,Jett,Astra,KAY/O,Tejo","Killjoy,Omen,Yoru,Fade,Vyse"
Abyss,DRX Prospect,T1 Academy,4,13,2,10,"Cypher,Sova,Omen,Jett,KAY/O","Sova,Omen,Yoru,Harbor,Vyse"
Abyss,FN Pocheon,Dplus Esports,10,13,7,8,"Breach,Sova,Jett,Astra,Tejo","Breach,Cypher,Jett,Astra,Tejo"
Bind,FN Pocheon,Dplus Esports,10,13,6,7,"Breach,Raze,Brimstone,Deadlock,Tejo","Raze,Viper,Brimstone,KAY/O,Tejo"
Lotus,G2 Esports,Team Liquid,13,7,6,1,"Breach,Viper,Omen,Yoru,Tejo","Breach,Cypher,Omen,Neon,Tejo"
Haven,G2 Esports,Team Liquid,13,5,5,4,"Breach,Yoru,Astra,Vyse,Tejo","Breach,Cypher,Omen,Jett,Tejo"
Pearl,T1,DRX,13,4,5,4,"Sova,Killjoy,Yoru,Astra,Neon","Yoru,Astra,Fade,Vyse,Tejo"
Fracture,T1,DRX,13,11,8,7,"Breach,Raze,Brimstone,Vyse,Tejo","Breach,Cypher,Brimstone,Yoru,Tejo"
Bind,Burger Boyz,YxB x cravi,13,8,8,4,"Raze,Cypher,Brimstone,Skye,Clove","Raze,Skye,Deadlock,Clove,Tejo"
Lotus,Burger Boyz,YxB x cravi,11,13,7,8,"Raze,Killjoy,Viper,Omen,Fade","Raze,Viper,Fade,Clove,Vyse"
Haven,Burger Boyz,YxB x cravi,13,7,5,4,"Cypher,Sova,Omen,Yoru,Iso","Cypher,Sova,Jett,Iso,Clove"
Haven,Ambrosia,YxB x cravi,9,13,5,8,"Breach,Cypher,Sova,Omen,Jett","Cypher,Sova,Jett,Iso,Clove"
Haven,Burger Boyz,Winthrop University,13,10,3,1,"Cypher,Sova,Omen,Yoru,Iso","Breach,Omen,Yoru,Vyse,Tejo"
Abyss,Ambrosia,YxB x cravi,13,6,8,2,"Sova,Omen,Jett,Yoru,Astra","Sova,Viper,Jett,Yoru,Clove"
Lotus,Burger Boyz,Winthrop University,9,13,7,8,"Raze,Killjoy,Viper,Omen,Fade","Raze,Sova,Clove,Vyse,Tejo"
Pearl,T2G Esports,RedKnight Sons Black,4,13,4,5,"Yoru,Astra,Fade,Vyse,Tejo","Sova,Killjoy,Jett,Astra,Vyse"
Lotus,Ambrosia,YxB x cravi,15,17,8,9,"Raze,Viper,Omen,Vyse,Tejo","Raze,Viper,Fade,Clove,Vyse"
Abyss,Burger Boyz,Winthrop University,13,7,7,6,"Cypher,Sova,Omen,Yoru,Deadlock","Sova,Jett,Astra,Gekko,Vyse"
Haven,T2G Esports,RedKnight Sons Black,5,13,1,2,"Breach,Cypher,Omen,Neon,Tejo","Breach,Cypher,Sova,Omen,Jett"
Fracture,YxB x cravi,Blue Otter,13,11,8,7,"Breach,Raze,Brimstone,Clove,Tejo","Breach,Raze,Brimstone,Vyse,Tejo"
Pearl,Winthrop University,Maryville University,13,7,6,5,"Jett,Astra,Fade,Vyse,Tejo","Cypher,Sova,Yoru,Astra,Vyse"
Lotus,Overlooked Entertainment,RedKnight Sons Black,11,13,5,6,"Breach,Raze,Cypher,Omen,Tejo","Breach,Raze,Omen,Fade,Vyse"
Haven,CHINA,Ambrosia,4,13,3,11,"Cypher,Sova,Omen,Yoru,Vyse","Breach,Cypher,Sova,Omen,Jett"
Fracture,Winthrop University,Maryville University,13,11,5,4,"Breach,Raze,Brimstone,Vyse,Tejo","Breach,Raze,Cypher,Brimstone,Tejo"
Split,washed,Burger Boyz,9,13,2,5,"Raze,Omen,Skye,Iso,Vyse","Raze,Cypher,Viper,Skye,Astra"
Lotus,YxB x cravi,Blue Otter,14,12,8,7,"Raze,Viper,Fade,Clove,Vyse","Breach,Raze,Omen,Vyse,Tejo"
Pearl,RedKnight Sons Black,UTRGV,13,7,6,5,"Sova,Killjoy,Jett,Astra,Vyse","Yoru,Astra,Fade,Vyse,Tejo"
Abyss,CHINA,Ambrosia,6,13,2,8,"Sova,Omen,Yoru,Astra,Vyse","Sova,Omen,Jett,Yoru,Astra"
Lotus,washed,Burger Boyz,9,13,1,4,"Breach,Raze,Omen,Vyse,Tejo","Raze,Killjoy,Viper,Omen,Fade"
Haven,YxB x cravi,Blue Otter,11,13,6,7,"Cypher,Sova,Jett,Iso,Clove","Breach,Cypher,Omen,Jett,Tejo"
Abyss,Winthrop University,Maryville University,9,13,6,7,"Sova,Jett,Astra,Vyse,Tejo","Yoru,Astra,Harbor,Gekko,Tejo"
Pearl,Otakar Esports,Me Gustan Los Gatitos,13,6,6,5,"Sova,Yoru,Astra,Chamber,Vyse","Yoru,Astra,Fade,Vyse,Tejo"
Lotus,Lotus Knights,NTWOW,13,2,2,1,"Breach,Cypher,Sova,Omen,Neon","Breach,Killjoy,Omen,Jett,Tejo"
Lotus,Otakar Esports,Me Gustan Los Gatitos,13,8,7,3,"Breach,Raze,Omen,Vyse,Tejo","Omen,Yoru,Gekko,Vyse,Tejo"
Haven,Lotus Knights,NTWOW,13,11,6,5,"Breach,Cypher,Sova,Omen,Jett","Breach,Cypher,Sova,Omen,Jett"
Abyss,NTWOW,Nexum EC,13,5,4,3,"Sova,Jett,Astra,KAY/O,Vyse","Sova,Jett,Astra,KAY/O,Vyse"
Lotus,Cheesy Cheesington,NORIC,9,13,3,6,"Raze,Omen,Chamber,Vyse,Tejo","Breach,Raze,Omen,Vyse,Tejo"
Lotus,Tan'i Susanoo,Me Gustan Los Gatitos,2,13,2,3,"Breach,Raze,Omen,Vyse,Tejo","Omen,Yoru,Gekko,Vyse,Tejo"
Bind,Otakar Esports,NGU eSports,13,6,6,5,"Breach,Raze,Brimstone,Deadlock,Tejo","Raze,Brimstone,Deadlock,Vyse,Tejo"
Haven,Lotus Knights,UNIVERSAE FALKE,13,10,8,7,"Breach,Cypher,Sova,Omen,Jett","Cypher,Sova,Phoenix,Omen,Yoru"
Haven,Tan'i Susanoo,Me Gustan Los Gatitos,7,13,3,4,"Cypher,Sova,Omen,Yoru,Iso","Omen,Jett,KAY/O,Vyse,Tejo"
Bind,Lotus Knights,UNIVERSAE FALKE,13,7,7,6,"Raze,Cypher,Brimstone,Skye,Yoru","Raze,Brimstone,Skye,Yoru,Vyse"
Haven,Cheesy Cheesington,NORIC,10,13,6,7,"Breach,Cypher,Omen,Jett,Tejo","Breach,Killjoy,Omen,Jett,Tejo"
Fracture,Otakar Esports,NGU eSports,13,7,9,4,"Breach,Raze,Cypher,Brimstone,Tejo","Breach,Raze,Cypher,Brimstone,Tejo"
