Event Name,Map Name,Team 1 Name,Team 2 Name,Team 1 Score,Team 2 Score,Team 1 Attacking Wins,Team 1 Attacking Losses,Team 1 Defending Wins,Team 1 Defending Losses,Team 2 Attacking Wins,Team 2 Attacking Losses,Team 2 Defending Wins,Team 2 Defending Losses,Date,Team 1 Agents,Team 2 Agents
VALORANT Champions 2023 - Group Stage,Split,EDward Gaming,Giants Gaming,13,6,9,3,4,3,3,4,3,9,2023-08-13T00:00:00.000Z,"Raze,Viper,Jett,Skye,Astra","Breach,Raze,Cypher,Omen,Skye"
VALORANT Champions 2023 - Group Stage,Pearl,FUT Esports,T1,14,12,8,5,6,7,7,6,5,8,2023-08-13T00:00:00.000Z,"Killjoy,Viper,Brimstone,Jett,KAY/O","Killjoy,Viper,Jett,Skye,Harbor"
VALORANT Champions 2023 - Group Stage,Bind,FUT Esports,T1,13,10,3,8,10,2,2,10,8,3,2023-08-12T00:00:00.000Z,"Raze,Viper,Brimstone,KAY/O,Fade","Viper,Jett,Skye,Harbor,Gekko"
VALORANT Champions 2023 - Group Stage,Bind,Natus Vincere,LOUD,11,13,6,6,5,7,7,5,6,6,2023-08-12T00:00:00.000Z,"Raze,Viper,Brimstone,Skye,Neon","Raze,Viper,Brimstone,Omen,Skye"
VALORANT Champions 2023 - Group Stage,Ascent,Natus Vincere,LOUD,11,13,5,7,6,6,6,6,7,5,2023-08-12T00:00:00.000Z,"Killjoy,Omen,Jett,KAY/O,Fade","Sova,Killjoy,Omen,Jett,KAY/O"
VALORANT Champions 2023 - Group Stage,Pearl,Natus Vincere,LOUD,13,11,5,7,8,4,4,8,7,5,2023-08-12T00:00:00.000Z,"Sova,Killjoy,Jett,Astra,KAY/O","Breach,Killjoy,Jett,Astra,Fade"
VALORANT Champions 2023 - Group Stage,Haven,ZETA DIVISION,NRG Esports,1,13,0,2,1,11,11,1,2,0,2023-08-11T00:00:00.000Z,"Raze,Killjoy,Skye,Astra,Chamber","Killjoy,Viper,Jett,Skye,Harbor"
VALORANT Champions 2023 - Group Stage,Pearl,KRÜ Esports,Giants Gaming,12,14,5,8,7,6,6,7,8,5,2023-08-11T00:00:00.000Z,"Killjoy,Viper,Jett,Skye,Harbor","Cypher,Sova,Jett,Skye,Astra"
VALORANT Champions 2023 - Group Stage,Lotus,KRÜ Esports,Giants Gaming,10,13,7,5,3,8,8,3,5,7,2023-08-11T00:00:00.000Z,"Raze,Killjoy,Viper,Omen,Skye","Raze,Killjoy,Viper,Omen,Skye"
VALORANT Champions 2023 - Group Stage,Pearl,Paper Rex,EDward Gaming,16,14,9,6,7,8,8,7,6,9,2023-08-11T00:00:00.000Z,"Killjoy,Phoenix,Jett,Skye,Astra","Killjoy,Viper,Omen,Jett,Fade"
VALORANT Champions 2023 - Group Stage,Fracture,Paper Rex,EDward Gaming,13,7,8,4,5,3,3,5,4,8,2023-08-10T00:00:00.000Z,"Breach,Raze,Killjoy,Brimstone,Skye","Breach,Killjoy,Brimstone,Jett,Skye"
VALORANT Champions 2023 - Group Stage,Bind,FunPlus Phoenix,T1,7,13,4,4,3,9,9,3,4,4,2023-08-10T00:00:00.000Z,"Raze,Viper,Jett,Skye,Harbor","Viper,Jett,Skye,Harbor,Gekko"
VALORANT Champions 2023 - Group Stage,Lotus,FunPlus Phoenix,T1,10,13,7,5,3,8,8,3,5,7,2023-08-10T00:00:00.000Z,"Raze,Killjoy,Viper,Harbor,Gekko","Raze,Killjoy,Viper,Omen,Fade"
VALORANT Champions 2023 - Group Stage,Split,Team Liquid,LOUD,8,13,2,7,6,6,6,6,7,2,2023-08-10T00:00:00.000Z,"Raze,Viper,Jett,Skye,Astra","Breach,Raze,Killjoy,Skye,Astra"
VALORANT Champions 2023 - Group Stage,Haven,Team Liquid,LOUD,2,13,2,10,0,3,3,0,10,2,2023-08-10T00:00:00.000Z,"Breach,Killjoy,Omen,Jett,Skye","Killjoy,Viper,Jett,Skye,Harbor"
VALORANT Champions 2023 - Group Stage,Lotus,FNATIC,Bilibili Gaming,13,8,9,3,4,5,5,4,3,9,2023-08-10T00:00:00.000Z,"Raze,Killjoy,Viper,Astra,Fade","Raze,Killjoy,Viper,Omen,Fade"
VALORANT Champions 2023 - Group Stage,Haven,FNATIC,Bilibili Gaming,13,2,10,2,3,0,0,3,2,10,2023-08-10T00:00:00.000Z,"Breach,Sova,Killjoy,Jett,Astra","Breach,Sova,Killjoy,Omen,Jett"
VALORANT Champions 2023 - Group Stage,Ascent,EDward Gaming,Giants Gaming,13,8,7,5,6,3,3,6,5,7,2023-08-09T00:00:00.000Z,"Sova,Killjoy,Omen,Jett,KAY/O","Sova,Killjoy,Omen,Jett,KAY/O"
VALORANT Champions 2023 - Group Stage,Bind,EDward Gaming,Giants Gaming,13,11,6,6,7,5,5,7,6,6,2023-08-09T00:00:00.000Z,"Raze,Viper,Brimstone,Skye,Chamber","Raze,Cypher,Viper,Brimstone,Skye"
VALORANT Champions 2023 - Group Stage,Split,EDward Gaming,Giants Gaming,13,15,10,4,3,11,11,3,4,10,2023-08-09T00:00:00.000Z,"Raze,Viper,Jett,Skye,Astra","Breach,Raze,Cypher,Omen,Skye"
VALORANT Champions 2023 - Group Stage,Pearl,Paper Rex,KRÜ Esports,13,8,8,4,5,4,4,5,4,8,2023-08-09T00:00:00.000Z,"Killjoy,Phoenix,Jett,Skye,Astra","Killjoy,Viper,Jett,Skye,Harbor"
