Map Name,Team 1 Name,Team 2 Name,Team 1 Score,Team 2 Score,Team 1 Attacking Wins,Team 2 Attacking Wins,Team 1 Agents,Team 2 Agents
Abyss,Sentinels,MIBR,13,5,9,2,"Sova,Omen,Jett,Astra,KAY/O","Cypher,Sova,Jett,Astra,KAY/O"
Lotus,Sentinels,MIBR,13,7,4,3,"Raze,Viper,Omen,Fade,Vyse","Breach,Raze,Cypher,Omen,Jett"
Haven,FUT Esports,Team Liquid,4,13,4,5,"Breach,Cypher,Omen,Yoru,KAY/O","Breach,Cypher,Omen,Jett,Tejo"
Bind,FUT Esports,Team Liquid,13,11,7,6,"Raze,Cypher,Viper,Omen,KAY/O","Raze,Viper,Brimstone,Skye,Gekko"
Abyss,FUT Esports,Team Liquid,7,13,3,8,"Sova,Yoru,Astra,Fade,Vyse","Cypher,Sova,Omen,Jett,KAY/O"
Abyss,Team Vitality,Team Heretics,13,1,11,0,"Breach,Sova,Jett,Astra,Tejo","Sova,Yoru,Astra,Chamber,Tejo"
Haven,Team Vitality,Team Heretics,13,10,8,6,"Cypher,Sova,Omen,Yoru,Iso","Cypher,Sova,Omen,Yoru,Tejo"
Lotus,TALON,Gen.G Esports,2,13,0,10,"Raze,Omen,Fade,Deadlock,Tejo","Raze,Killjoy,Viper,Omen,Fade"
Bind,TALON,Gen.G Esports,7,13,5,6,"Raze,Astra,Fade,Gekko,Deadlock","Raze,Viper,Brimstone,Fade,Gekko"
Fracture,T1,DRX,10,13,6,8,"Breach,Raze,Cypher,Brimstone,Tejo","Breach,Raze,Brimstone,Vyse,Tejo"
Haven,T1,DRX,13,15,7,8,"Cypher,Sova,Omen,Yoru,Iso","Cypher,Sova,Omen,Jett,Tejo"
Lotus,T1,DRX,13,11,5,4,"Raze,Cypher,Sova,Omen,Iso","Raze,Omen,Fade,Vyse,Tejo"
Split,MIBR,KRÜ Esports,13,11,8,7,"Raze,Viper,Jett,Skye,Astra","Raze,Cypher,Viper,Omen,Skye"
Abyss,MIBR,KRÜ Esports,13,8,5,4,"Cypher,Sova,Jett,Astra,KAY/O","Sova,Viper,Jett,Astra,KAY/O"
Bind,MIBR,KRÜ Esports,8,13,2,6,"Raze,Viper,Brimstone,Skye,Yoru","Raze,Viper,Brimstone,Skye,Vyse"
Pearl,Sentinels,G2 Esports,7,13,5,6,"Yoru,Astra,Fade,Vyse,Tejo","Sova,Yoru,Astra,Chamber,Vyse"
Abyss,Sentinels,G2 Esports,7,13,5,10,"Sova,Omen,Jett,Astra,KAY/O","Breach,Sova,Yoru,Astra,Chamber"
Haven,LOUD,KRÜ Esports,11,13,3,4,"Breach,Cypher,Sova,Omen,Jett","Breach,Cypher,Sova,Omen,Jett"
Bind,LOUD,KRÜ Esports,5,13,3,4,"Raze,Brimstone,Skye,KAY/O,Deadlock","Raze,Viper,Brimstone,Skye,Vyse"
Split,Leviatán,MIBR,12,14,7,8,"Raze,Cypher,Viper,Omen,Skye","Raze,Viper,Jett,Skye,Astra"
Pearl,Leviatán,MIBR,9,13,6,7,"Sova,Phoenix,Jett,Astra,Vyse","Sova,Killjoy,Jett,Astra,KAY/O"
