Map Name,Team 1 Name,Team 2 Name,Team 1 Score,Team 2 Score,Team 1 Attacking Wins,Team 1 Attacking Losses,Team 2 Attacking Wins,Team 2 Attacking Losses,Team 1 Agents,Team 2 Agents
Abyss,add3r's kittens, Unjustified,13,8,8,4,4,5,"Cypher,Sova,Jett,Iso,Clove","Sova,Viper,Jett,Yoru,Astra"
Haven,whats a pretzel,kellogs cereal,13,9,7,5,4,6,"Breach,Cypher,Sova,Omen,Jett","Breach,Sova,Killjoy,Omen,Jett"
Pearl,the gnomes,Dexterity Gaming,11,13,4,8,5,7,"Sova,Killjoy,Viper,Yoru,Harbor","Killjoy,Viper,Jett,Harbor,Gekko"
Abyss,Made in O'Block,OC Eagles,12,14,5,8,6,7,"Cypher,Sova,Yoru,Astra,KAY/O","Cypher,Sova,Omen,Yoru,KAY/O"
Ascent,Non-Verbal,Nearest Airport,13,10,7,5,5,6,"Cypher,Sova,Omen,Yoru,Deadlock","Cypher,Sova,Omen,Yoru,Deadlock"
Bind,1KRR and Racoone,Vovin,13,11,7,5,6,6,"Raze,Cypher,Skye,Deadlock,Clove","Raze,Viper,Fade,Gekko,Clove"
Sunset,Good Career,Gondal Enjoyers,13,9,9,1,8,4,"Breach,Raze,Cypher,Omen,Gekko","Raze,Cypher,Fade,Gekko,Clove"
Haven,Spate Esports,lost cause,13,7,6,2,5,7,"Breach,Cypher,Sova,Neon,Clove","Cypher,Sova,Omen,Yoru,Iso"
Sunset,Be Like Matt,A Good Team,15,13,3,11,2,12,"Breach,Raze,Cypher,Omen,Gekko","Raze,Cypher,Sova,Omen,KAY/O"
Split,BALLZ,Event Horizon,5,13,5,7,6,0,"Raze,Cypher,Omen,Skye,Neon","Raze,Cypher,Viper,Omen,Skye"
Pearl,Ivy League Dropouts,The Bees Knees,13,6,4,3,3,9,"Killjoy,Phoenix,Jett,Astra,Fade","Killjoy,Jett,Yoru,Astra,Fade"
Ascent,Bobo is Hobo,YDZ Esports,6,13,2,5,8,4,"Cypher,Sova,Omen,Jett,Deadlock","Sova,Killjoy,Omen,Jett,KAY/O"
Bind,Freaky Furries,hunter505,13,11,5,7,4,8,"Raze,Viper,Brimstone,Fade,Deadlock","Raze,Cypher,Skye,Deadlock,Clove"
Haven,Non-Verbal,Nearest Airport,13,3,3,1,2,10,"Killjoy,Viper,Omen,Jett,Skye","Breach,Sova,Killjoy,Omen,Jett"
Ascent,Unckies,whats a pretzel,13,4,3,2,2,10,"Cypher,Sova,Omen,Jett,Deadlock","Cypher,Sova,Omen,Jett,KAY/O"
Haven,Mongolia Car,Predator X Gaming,13,7,8,4,3,5,"Breach,Cypher,Sova,Omen,Neon","Breach,Cypher,Sova,Omen,Jett"
Sunset,ENVEE Esports,ABG luvrs,13,9,7,5,4,6,"Breach,Cypher,Sova,Omen,Neon","Breach,Cypher,Sova,Omen,Neon"
Haven,Goon that jawn,Team Digital,13,9,5,5,4,8,"Cypher,Sova,Omen,Jett,Yoru","Breach,Cypher,Sova,Omen,Jett"
Bind,FAWZ Purple,Vovin,4,13,1,4,9,3,"Raze,Viper,Brimstone,Fade,Gekko","Raze,Viper,Fade,Gekko,Clove"
Haven,Harmony,Dexterity Gaming,9,13,6,4,9,3,"Breach,Sova,Killjoy,Omen,Neon","Breach,Sova,Killjoy,Omen,Neon"
Pearl,add3r's kittens,Aspyre x Swarm,15,17,6,10,7,9,"Sova,Killjoy,Phoenix,Jett,Astra","Cypher,Sova,Jett,Astra,Gekko"
Split,Good Career,Gondal Enjoyers,13,11,7,5,6,6,"Raze,Cypher,Omen,Jett,Skye","Raze,Cypher,Viper,Skye,Clove"
Bind,Blackline,OREGON CRACK,10,13,5,6,7,5,"Raze,Cypher,Brimstone,Skye,Fade","Raze,Cypher,Brimstone,Fade,Iso"
Haven,Made in Brampton,Prime (NA),4,13,1,4,9,3,"Breach,Sova,Killjoy,Jett,Astra","Sova,Killjoy,Viper,Omen,Jett"
Sunset,SaD Esports,Made in O'Block,13,6,8,4,2,5,"Breach,Raze,Cypher,Sova,Omen","Breach,Raze,Cypher,Gekko,Clove"
Sunset,Corvus Esports,Boomer Squad,4,13,0,5,8,4,"Raze,Cypher,Jett,Gekko,Clove","Raze,Cypher,Reyna,Astra,Gekko"
Ascent,Berzerkers,the gnomes,13,4,9,3,1,4,"Cypher,Sova,Omen,Yoru,Deadlock","Sova,Killjoy,Omen,Jett,KAY/O"
Bind,Shane's Kittens,OC Eagles,9,13,1,9,4,8,"Raze,Cypher,Viper,Skye,Clove","Raze,Cypher,Viper,Brimstone,Skye"
Ascent,Spate Esports,lost cause,14,12,9,4,8,5,"Cypher,Sova,Omen,Jett,Deadlock","Sova,Killjoy,Reyna,Omen,Jett"
Sunset,Mongolia Car,Predator X Gaming,13,2,10,2,0,3,"Breach,Cypher,Sova,Omen,Neon","Breach,Raze,Cypher,Omen,Fade"
Haven,Freaky Furries,hunter505,13,6,7,5,1,6,"Breach,Cypher,Sova,Omen,Jett","Sova,Killjoy,Reyna,Omen,Neon"
Ascent,West Virginia University,Be Like Matt,13,8,6,6,2,7,"Sova,Killjoy,Omen,Jett,KAY/O","Cypher,Sova,Omen,Jett,Deadlock"
Sunset,Ivy League Dropouts,The Bees Knees,13,9,4,6,3,9,"Breach,Cypher,Sova,Omen,Neon","Breach,Raze,Cypher,Omen,Fade"
Pearl,Unckies,whats a pretzel,13,3,9,3,0,4,"Sova,Killjoy,Jett,Yoru,Astra","Sova,Yoru,Astra,Gekko,Deadlock"
