Map Name,Team 1 Name,Team 2 Name,Team 1 Score,Team 2 Score,Team 1 Attacking Wins,Team 2 Attacking Wins,Team 1 Agents,Team 2 Agents
Icebox,G2 Esports,Leviatán,13,8,7,6,"Sova,Killjoy,Viper,Harbor,Gekko","Sova,Killjoy,Viper,Jett,Harbor"
Breeze,G2 Esports,Leviatán,6,13,2,3,"Cypher,Sova,Viper,Yoru,Harbor","Cypher,Sova,Viper,Jett,KAY/O"
Sunset,Team Vitality,Gentle Mates,5,13,2,3,"Raze,Viper,Omen,KAY/O,Gekko","Raze,Cypher,Sage,Omen,KAY/O"
Icebox,Team Vitality,Gentle Mates,5,13,4,5,"Raze,Killjoy,Viper,KAY/O,Gekko","Killjoy,Viper,Sage,KAY/O,Gekko"
Bind,Team Liquid,Team Heretics,7,13,5,6,"Raze,Viper,KAY/O,Harbor,Gekko","Sova,Viper,Omen,Skye,Yoru"
Sunset,Team Liquid,Team Heretics,2,13,0,10,"Cypher,Sova,Omen,Yoru,Gekko","Cypher,Sova,Omen,KAY/O,Neon"
Breeze,NRG Esports,MIBR,13,3,4,3,"Cypher,Sova,Viper,Jett,Yoru","Cypher,Sova,Viper,Jett,KAY/O"
Split,NRG Esports,MIBR,13,9,7,4,"Raze,Viper,Omen,Jett,Skye","Raze,Viper,Jett,Skye,Astra"
Sunset,Sentinels,Evil Geniuses,10,13,6,7,"Raze,Cypher,Omen,KAY/O,Gekko","Breach,Raze,Cypher,Omen,Fade"
Bind,Sentinels,Evil Geniuses,11,13,10,11,"Raze,Viper,Brimstone,Skye,Gekko","Raze,Viper,Brimstone,Skye,Gekko"
Lotus,Sentinels,Evil Geniuses,13,10,10,9,"Raze,Killjoy,Viper,Omen,Fade","Raze,Cypher,Viper,Omen,Fade"
Icebox,Global Esports,Paper Rex,7,13,2,7,"Killjoy,Viper,Sage,Jett,Gekko","Killjoy,Viper,Sage,Jett,KAY/O"
Sunset,Global Esports,Paper Rex,4,13,2,10,"Killjoy,Sage,Omen,KAY/O,Gekko","Breach,Raze,Sage,Omen,Gekko"
Sunset,Team Secret,DetonatioN FocusMe,13,2,1,0,"Breach,Raze,Cypher,Sova,Omen","Raze,Cypher,Viper,Omen,Gekko"
Breeze,Team Secret,DetonatioN FocusMe,9,13,1,4,"Cypher,Sova,Viper,Jett,KAY/O","Cypher,Sova,Viper,Omen,Yoru"
Lotus,Team Secret,DetonatioN FocusMe,13,4,10,2,"Raze,Killjoy,Viper,Omen,Fade","Raze,Killjoy,Viper,Omen,Fade"
Ascent,Cloud9,100 Thieves,6,13,1,2,"Cypher,Sova,Omen,Jett,KAY/O","Sova,Killjoy,Omen,Jett,KAY/O"
Bind,Cloud9,100 Thieves,7,13,4,5,"Raze,Cypher,Viper,Brimstone,Skye","Raze,Viper,Brimstone,Fade,Gekko"
Icebox,G2 Esports,FURIA,13,3,4,3,"Sova,Killjoy,Viper,Harbor,Gekko","Killjoy,Viper,Omen,KAY/O,Gekko"
Lotus,G2 Esports,FURIA,13,3,9,0,"Raze,Killjoy,Viper,Omen,Fade","Raze,Killjoy,Viper,Omen,Fade"
Ascent,Gen.G Esports,ZETA DIVISION,14,12,8,7,"Sova,Killjoy,Omen,Jett,KAY/O","Sova,Killjoy,Omen,Jett,KAY/O"
Split,Gen.G Esports,ZETA DIVISION,13,8,6,5,"Raze,Viper,Omen,Jett,Skye","Breach,Viper,Yoru,Astra,Chamber"
Bind,T1,TALON,10,13,5,6,"Raze,Viper,Skye,Harbor,Gekko","Raze,Viper,Skye,Harbor,Gekko"
Lotus,T1,TALON,11,13,6,7,"Raze,Viper,Omen,Chamber,Fade","Viper,Omen,Chamber,Neon,Gekko"
Bind,NRG Esports,Leviatán,4,13,1,2,"Raze,Viper,Brimstone,KAY/O,Gekko","Raze,Viper,Brimstone,Skye,Gekko"
Sunset,NRG Esports,Leviatán,4,13,2,3,"Raze,Cypher,Omen,KAY/O,Gekko","Breach,Raze,Cypher,Omen,Gekko"
Breeze,KRÜ Esports,Evil Geniuses,13,9,5,4,"Cypher,Sova,Viper,Jett,KAY/O","Sova,Viper,Jett,Yoru,Astra"
Lotus,KRÜ Esports,Evil Geniuses,13,5,10,3,"Raze,Killjoy,Viper,Omen,Fade","Raze,Cypher,Viper,Omen,Fade"
Sunset,Team Secret,Paper Rex,13,8,7,3,"Breach,Raze,Cypher,Sova,Omen","Raze,Viper,Omen,KAY/O,Gekko"
Icebox,Team Secret,Paper Rex,13,9,5,4,"Sova,Killjoy,Viper,Jett,KAY/O","Killjoy,Viper,Sage,Jett,KAY/O"
Icebox,Global Esports,Rex Regum Qeon,13,4,8,0,"Killjoy,Viper,Sage,Jett,Gekko","Sova,Killjoy,Viper,Jett,Gekko"
Lotus,Global Esports,Rex Regum Qeon,13,10,7,5,"Raze,Killjoy,Viper,Omen,Fade","Raze,Killjoy,Viper,Omen,Fade"
Lotus,Cloud9,LOUD,13,9,6,3,"Raze,Killjoy,Viper,Omen,Gekko","Raze,Viper,Omen,Fade,Deadlock"
Icebox,Cloud9,LOUD,13,4,9,1,"Sova,Killjoy,Viper,Sage,Jett","Sova,Killjoy,Viper,Jett,Harbor"
Bind,Cloud9,LOUD,11,13,5,6,"Raze,Cypher,Viper,Brimstone,Skye","Breach,Raze,Viper,Brimstone,KAY/O"
Bind,Sentinels,MIBR,13,7,9,4,"Raze,Viper,Brimstone,Skye,Gekko","Raze,Viper,Brimstone,Skye,KAY/O"
Lotus,Sentinels,MIBR,13,3,4,3,"Raze,Killjoy,Viper,Omen,Fade","Raze,Killjoy,Viper,Omen,Skye"
Ascent,Bleed Esports,DetonatioN FocusMe,13,4,3,2,"Sova,Killjoy,Omen,Jett,KAY/O","Raze,Cypher,Viper,Omen,KAY/O"
Split,Bleed Esports,DetonatioN FocusMe,13,7,10,5,"Raze,Viper,Omen,Jett,Skye","Raze,Cypher,Viper,Omen,Skye"
