Map Name,Team 1 Name,Team 2 Name,Team 1 Score,Team 2 Score,Team 1 Attacking Wins,Team 2 Attacking Wins,Team 1 Agents,Team 2 Agents
Pearl,T1,Rex Regum Qeon,13,10,7,6,"Sova,Killjoy,Yoru,Astra,Neon","Yoru,Astra,Neon,Vyse,Tejo"
Haven,Sentinels,LOUD,13,5,9,2,"Breach,Cypher,Sova,Omen,Neon","Breach,Cypher,Omen,Neon,Tejo"
Lotus,Sentinels,LOUD,11,13,6,7,"Breach,Viper,Omen,Neon,Tejo","Breach,Omen,Neon,Vyse,Tejo"
Split,Sentinels,LOUD,13,10,7,5,"Breach,Viper,Omen,Yoru,Tejo","Breach,Viper,Omen,Jett,Tejo"
Pearl,FURIA,Cloud9,1,13,1,2,"Jett,Astra,KAY/O,Vyse,Tejo","Cypher,Sova,Jett,Yoru,Astra"
Lotus,FURIA,Cloud9,14,16,10,11,"Breach,Omen,Neon,Fade,Clove","Breach,Cypher,Omen,Neon,Tejo"
Ascent,DRX,BOOM Esports,8,13,7,8,"Omen,Jett,Yoru,Vyse,Tejo","Sova,Omen,Yoru,Vyse,Tejo"
Haven,DRX,BOOM Esports,14,12,6,5,"Cypher,Omen,Jett,Yoru,Tejo","Cypher,Sova,Omen,Yoru,Iso"
Icebox,DRX,BOOM Esports,8,13,4,8,"Killjoy,Viper,Jett,Yoru,Tejo","Killjoy,Viper,Jett,KAY/O,Tejo"
Split,Nongshim RedForce,Team Secret,13,3,4,3,"Viper,Omen,Neon,Deadlock,Tejo","Raze,Viper,Omen,Yoru,Fade"
Pearl,Nongshim RedForce,Team Secret,13,10,5,3,"Killjoy,Astra,Neon,Vyse,Tejo","Sova,Yoru,Astra,Chamber,Vyse"
Haven,G2 Esports,Leviatán,13,7,3,2,"Breach,Yoru,Astra,Vyse,Tejo","Breach,Omen,Jett,Vyse,Tejo"
Fracture,G2 Esports,Leviatán,11,13,4,5,"Breach,Cypher,Brimstone,Tejo,Waylay","Breach,Brimstone,Neon,Vyse,Tejo"
Lotus,G2 Esports,Leviatán,13,10,7,6,"Breach,Viper,Omen,Yoru,Tejo","Breach,Viper,Omen,Neon,Tejo"
Icebox,100 Thieves,2Game Esports,13,6,6,5,"Sova,Killjoy,Viper,Jett,Gekko","Killjoy,Viper,Jett,KAY/O,Tejo"
Ascent,100 Thieves,2Game Esports,15,13,7,6,"Sova,Killjoy,Omen,Yoru,Tejo","Omen,Jett,KAY/O,Vyse,Tejo"
Pearl,Karmine Corp,Gentle Mates,13,2,3,2,"Yoru,Astra,Fade,Harbor,Vyse","Sova,Killjoy,Yoru,Astra,Tejo"
Haven,Karmine Corp,Gentle Mates,14,12,6,5,"Cypher,Sova,Phoenix,Omen,Yoru","Breach,Cypher,Sova,Omen,Neon"
Split,Apeks,FNATIC,14,16,10,11,"Raze,Viper,Yoru,Astra,Fade","Raze,Viper,Yoru,Astra,Fade"
Lotus,Apeks,FNATIC,5,13,2,9,"Breach,Viper,Omen,Yoru,Tejo","Raze,Killjoy,Viper,Omen,Fade"
Icebox,Team Vitality,Team Heretics,6,13,1,7,"Sova,Killjoy,Viper,Jett,KAY/O","Sova,Viper,Neon,Vyse,Tejo"
Haven,Team Vitality,Team Heretics,10,13,6,7,"Cypher,Sova,Omen,Yoru,Iso","Cypher,Sova,Omen,Yoru,Iso"
Split,Team Liquid,FUT Esports,13,9,6,3,"Raze,Viper,Yoru,Astra,Fade","Raze,Viper,Omen,Skye,Chamber"
Lotus,Team Liquid,FUT Esports,13,1,2,1,"Cypher,Omen,Deadlock,Tejo,Waylay","Breach,Cypher,Omen,Jett,Fade"
Split,Natus Vincere,GIANTX,13,0,1,0,"Raze,Omen,Astra,Fade,Vyse","Breach,Cypher,Omen,Yoru,Tejo"
Pearl,Natus Vincere,GIANTX,13,7,9,4,"Sova,Killjoy,Yoru,Astra,Tejo","Sova,Yoru,Astra,Vyse,Tejo"
Fracture,Natus Vincere,GIANTX,9,13,3,6,"Breach,Raze,Cypher,Brimstone,Fade","Breach,Cypher,Brimstone,Neon,Tejo"
Icebox,KOI,BBL Esports,9,13,5,6,"Sova,Killjoy,Viper,Iso,Tejo","Killjoy,Viper,Jett,KAY/O,Tejo"
Pearl,KOI,BBL Esports,6,13,1,7,"Sova,Yoru,Astra,Vyse,Tejo","Sova,Yoru,Astra,Chamber,Vyse"
Lotus,T1,Team Secret,13,8,8,7,"Raze,Viper,Omen,Fade,Iso","Breach,Raze,Cypher,Omen,Tejo"
Icebox,T1,Team Secret,9,13,3,4,"Sova,Viper,Reyna,KAY/O,Chamber","Sova,Viper,KAY/O,Chamber,Iso"
Haven,T1,Team Secret,13,6,8,2,"Cypher,Sova,Omen,Yoru,Iso","Breach,Cypher,Sova,Omen,Jett"
Split,DRX,Global Esports,13,10,6,4,"Raze,Viper,Omen,Neon,Tejo","Raze,Cypher,Astra,Fade,Deadlock"
Ascent,DRX,Global Esports,13,3,9,0,"Omen,Jett,Yoru,Vyse,Tejo","Cypher,Omen,Jett,Deadlock,Tejo"
Haven,Cloud9,MIBR,11,13,8,9,"Breach,Cypher,Sova,Omen,Jett","Breach,Cypher,Omen,Jett,Tejo"
Lotus,Cloud9,MIBR,13,15,4,5,"Breach,Cypher,Omen,Neon,Tejo","Breach,Omen,Neon,Vyse,Tejo"
Pearl,Cloud9,MIBR,13,9,8,7,"Cypher,Sova,Jett,Yoru,Astra","Astra,KAY/O,Vyse,Tejo,Waylay"
Pearl,FURIA,Leviatán,5,13,4,5,"Yoru,Astra,Fade,Vyse,Tejo","Yoru,Astra,Fade,Vyse,Tejo"
Ascent,FURIA,Leviatán,4,13,4,5,"Sova,Omen,Yoru,Vyse,Tejo","Omen,KAY/O,Vyse,Tejo,Waylay"
Fracture,TALON,Nongshim RedForce,13,6,3,2,"Breach,Cypher,Brimstone,Tejo,Waylay","Breach,Cypher,Brimstone,Neon,Tejo"
Lotus,TALON,Nongshim RedForce,13,8,7,3,"Breach,Cypher,Omen,Tejo,Waylay","Cypher,Omen,Neon,Fade,Iso"
Haven,TALON,Nongshim RedForce,5,13,0,7,"Cypher,Sova,Omen,Yoru,Iso","Cypher,Sova,Omen,Neon,Tejo"
Fracture,Paper Rex,BOOM Esports,9,13,4,7,"Breach,Brimstone,Neon,Vyse,Tejo","Breach,Killjoy,Brimstone,Neon,Tejo"
Ascent,Paper Rex,BOOM Esports,13,8,3,2,"Omen,Jett,KAY/O,Fade,Vyse","Sova,Killjoy,Phoenix,Omen,Tejo"
Pearl,Paper Rex,BOOM Esports,10,13,4,5,"Phoenix,Yoru,Astra,Fade,Vyse","Killjoy,Jett,Astra,KAY/O,Tejo"
Ascent,G2 Esports,NRG Esports,13,6,10,4,"Omen,KAY/O,Vyse,Tejo,Waylay","Cypher,Sova,Omen,Jett,KAY/O"
Lotus,G2 Esports,NRG Esports,13,1,2,1,"Breach,Viper,Omen,Yoru,Tejo","Breach,Raze,Omen,Vyse,Tejo"
Pearl,2Game Esports,KRÜ Esports,6,13,0,1,"Yoru,Astra,Fade,Vyse,Tejo","Sova,Yoru,Astra,Chamber,Vyse"
