Map Name,Team 1 Name,Team 2 Name,Team 1 Score,Team 2 Score,Team 1 Attacking Wins,Team 2 Attacking Wins,Team 1 Agents,Team 2 Agents
Lotus,Green Grapes,Funhavers,9,13,5,8,"Breach,Viper,Omen,Yoru,Tejo","Raze,Cypher,Sova,Omen,Iso"
Haven,Overtake,NBG SHAHZAM,8,13,5,9,"Breach,Cypher,Sova,Omen,Jett","Sova,Jett,Chamber,Iso,Clove"
Pearl,anything but a job,The International Justice League,4,13,0,8,"Jett,Yoru,Fade,Clove,Vyse","Jett,Astra,KAY/O,Fade,Vyse"
Abyss,Winthrop University,Tora University,13,6,9,3,"Sova,Jett,Astra,Vyse,Tejo","Sova,Jett,Iso,Clove,Vyse"
Fracture,Bon Bon Bum Contra,Power Rangers,8,13,5,9,"Breach,Brimstone,Yoru,Vyse,Tejo","Breach,Raze,Brimstone,Reyna,Vyse"
Lotus,YxB x cravi,The Cutchers,13,6,6,0,"Breach,Raze,Deadlock,Clove,Tejo","Breach,Raze,Clove,Vyse,Tejo"
Fracture,Felon and Co,heartstoppers,13,9,7,6,"Breach,Raze,Cypher,Clove,Tejo","Breach,Raze,Brimstone,Chamber,Tejo"
Bind,Ace Esports (NA),Testosterone Beasts,18,20,10,11,"Breach,Viper,Omen,Yoru,Tejo","Breach,Yoru,Clove,Vyse,Tejo"
Bind,Berzerkers,pass the blunt,13,10,7,5,"Raze,Astra,Fade,Deadlock,Tejo","Raze,Brimstone,Skye,Neon,Vyse"
Bind,WTP,Centrix Esports,6,13,2,3,"Raze,Cypher,Brimstone,Skye,Yoru","Raze,Cypher,Yoru,Clove,Tejo"
Lotus,Prestige Esports,Predator X Gaming,11,13,3,4,"Breach,Raze,Deadlock,Clove,Tejo","Raze,Cypher,Viper,Fade,Clove"
Lotus,Erinite Esports,Project (Inactive),13,5,4,3,"Raze,Omen,Fade,Deadlock,Clove","Breach,Raze,Cypher,Omen,Tejo"
Lotus,Green Grapes,Mythos Esports,13,4,5,4,"Breach,Raze,Viper,Omen,Tejo","Breach,Omen,Yoru,Vyse,Tejo"
Bind,ROSE,Tora University,6,13,4,5,"Raze,Brimstone,Skye,Chamber,Deadlock","Raze,Yoru,Deadlock,Clove,Tejo"
Bind,washed,Revitalize,13,10,3,1,"Raze,Deadlock,Clove,Vyse,Tejo","Raze,Brimstone,Fade,Deadlock,Vyse"
Pearl,Prosperity Esports,Vulcan Rising,13,7,10,5,"Jett,Astra,KAY/O,Vyse,Tejo","Yoru,Astra,Fade,Vyse,Tejo"
Lotus,beastmode,West Virginia University,14,12,9,8,"Breach,Omen,Yoru,Iso,Tejo","Breach,Viper,Omen,Yoru,Tejo"
Haven,NBG SHAHZAM,Error 404,13,2,3,2,"Sova,Omen,Yoru,Chamber,Iso","Breach,Cypher,Sova,Omen,Jett"
Haven,F5 Esports,not too much,14,12,4,3,"Breach,Cypher,Sova,Jett,Clove","Breach,Cypher,Sova,Omen,Yoru"
Lotus,The International Justice League,Thuggin Thugs,11,13,7,8,"Raze,Viper,Omen,Chamber,Fade","Killjoy,Neon,Fade,Clove,Tejo"
Bind,Funhavers,North Park,13,5,8,1,"Raze,Cypher,Brimstone,Yoru,Deadlock","Reyna,Skye,Yoru,Clove,Vyse"
Abyss,Bon Bon Bum Contra,Power Rangers,10,13,4,6,"Sova,Jett,Yoru,Astra,Vyse","Sova,Yoru,Astra,Clove,Vyse"
